Time,Reading
1746.871948,-18718
1747.472046,-21273
1748.072021,-26449
1748.671997,-18164
1749.271973,-20795
1749.871948,-18222
1750.472046,-20123
1751.072021,-23911
1751.671997,-23631
1752.271973,-16450
1752.871948,-14414
1753.472046,-22787
1754.072021,-29639
1754.671997,-20510
1755.271973,-19485
1755.871948,-20308
1756.472046,-14905
1757.072021,-20781
1757.671997,-23838
1758.271973,-22354
1758.871948,-14274
1759.472046,-23693
1760.072021,-18706
1760.671997,-19601
1761.271973,-18585
1761.871948,-16855
1762.472046,-15908
1763.072021,-19020
1763.671997,-21903
1764.271973,-23508
1764.871948,-17084
1765.472046,-18932
1766.072021,-25263
1766.671997,-12259
1767.271973,-19740
1767.871948,-22198
1768.472046,-21380
1769.072021,-21546
1769.671997,-15620
1770.271973,-26950
1770.871948,-16536
1771.472046,-18616
1772.072021,-21610
1772.671997,-19911
1773.271973,-18570
1773.871948,-18260
1774.472046,-23048
1775.072021,-15217
1775.671997,-18690
1776.271973,-11782
1776.871948,-13321
1777.472046,-21247
1778.072021,-17406
1778.671997,-20605
1779.271973,-25419
1779.871948,-13338
1780.472046,-17176
1781.072021,-19630
1781.671997,-23329
1782.271973,-24296
1782.871948,-23396
1783.472046,-13909
1784.072021,-15565
1784.671997,-15699
1785.271973,-11674
1785.871948,-19110
1786.472046,-24652
1787.072021,-20711
1787.671997,-24170
1788.271973,-16351
1788.871948,-19165
1789.472046,-22607
1790.072021,-15183
1790.671997,-15463
1791.271973,-19263
1791.871948,-26211
1792.472046,-21173
1793.072021,-11532
1793.671997,-27570
1794.271973,-9788
1794.871948,-22614
1795.472046,-23424
1796.072021,-29077
1796.671997,-34316
1797.271973,-21199
1797.871948,-24388
1798.472046,-25132
1799.072021,-22604
1799.671997,-26981
1800.271973,-19464
1800.871948,-24172
1801.472046,-18998
1802.072021,-25273
1802.671997,-31938
1803.271973,-19407
1803.871948,-28143
1804.472046,-24442
1805.072021,-23538
1805.671997,-19719
1806.271973,-28416
1806.871948,-20569
1807.472046,-25364
1808.072021,-25993
1808.671997,-24896
1809.271973,-22265
1809.871948,-27437
1810.472046,-20674
1811.072021,-27063
1811.671997,-23201
1812.271973,-16594
1812.871948,-22455
1813.472046,-24321
1814.072021,-25610
1814.671997,-21490
1815.271973,-23921
1815.871948,-19606
1816.472046,-22429
1817.072021,-21824
1817.671997,-22749
1818.271973,-19837
1818.871948,-24741
1819.472046,-26930
1820.072021,-21539
1820.671997,-21259
1821.271973,-23772
1821.871948,-21261
1822.472046,-25560
1823.072021,-20277
1823.671997,-16070
1824.271973,-16257
1824.871948,-18591
1825.472046,-19744
1826.072021,-23251
1826.671997,-17193
1827.271973,-23473
1827.871948,-21465
1828.472046,-24688
1829.072021,-24801
1829.671997,-18053
1830.271973,-20085
1830.871948,-16645
1831.472046,-20276
1832.072021,-26083
1832.671997,-23360
1833.271973,-17749
1833.871948,-22251
1834.472046,-22652
1835.072021,-20627
1835.671997,-19889
1836.271973,-21129
1836.871948,-21986
1837.472046,-21126
1838.072021,-21813
1838.671997,-19132
1839.271973,-24622
1839.871948,-20602
1840.472046,-23841
1841.072021,-19252
1841.671997,-22132
1842.271973,-20787
1842.871948,-18625
1843.472046,-21535
1844.072021,-19153
1844.671997,-23772
1845.271973,-23641
1845.871948,-10694
1846.472046,-19674
1847.072021,-25158
1847.671997,-21595
1848.271973,-20329
1848.871948,-21307
1849.472046,-21661
1850.072021,-20161
1850.671997,-21090
1851.271973,-18121
1851.871948,-16923
1852.472046,-18422
1853.072021,-20887
1853.671997,-16445
1854.271973,-21648
1854.871948,-22374
1855.472046,-21971
1856.072021,-22000
1856.671997,-22167
1857.271973,-22787
1857.871948,-21875
1858.472046,-20461
1859.072021,-19908
1859.671997,-23045
1860.271973,-22582
1860.871948,-21225
1861.472046,-20388
1862.072021,-18495
1862.671997,-20834
1863.271973,-20413
1863.871948,-20388
1864.472046,-20283
1865.072021,-20358
1865.671997,-20264
1866.271973,-20182
1866.871948,-20376
1867.472046,-20137
1868.072021,-19479
1868.671997,-20472
1869.271973,-20401
1869.871948,-19875
1870.472046,-19506
1871.072021,-20555
1871.671997,-20463
1872.271973,-20342
1872.871948,-21269
1873.472046,-20848
1874.072021,-19052
1874.671997,-22082
1875.271973,-26031
1875.871948,-18736
1876.472046,-19040
1877.072021,-22504
1877.671997,-17876
1878.271973,-18839
1878.871948,-22386
1879.472046,-20217
1880.072021,-17850
1880.671997,-22620
1881.271973,-23932
1881.871948,-16421
1882.472046,-12413
1883.072021,-21642
1883.671997,-14010
1884.271973,-28472
1884.871948,-26635
1885.472046,-21295
1886.072021,-12971
1886.671997,-17801
1887.271973,-22241
1887.871948,-20473
1888.472046,-15961
1889.072021,-16039
1889.671997,-19150
1890.271973,-17481
1890.871948,-17267
1891.472046,-22141
1892.072021,-24330
1892.671997,-23727
1893.271973,-17397
1893.871948,-19350
1894.472046,-16024
1895.072021,-13261
1895.671997,-20804
1896.271973,-20783
1896.871948,-18499
1897.472046,-22763
1898.072021,-18198
1898.671997,-17183
1899.271973,-23140
1899.871948,-16154
1900.472046,-20330
1901.072021,-15278
1901.671997,-20825
1902.271973,-20690
1902.871948,-19726
1903.472046,-15843
1904.072021,-17415
1904.671997,-18814
1905.271973,-15134
1905.871948,-17366
1906.472046,-12175
1907.072021,-22075
1907.671997,-11082
1908.271973,-19617
1908.871948,-21250
1909.472046,-18579
1910.072021,-22370
1910.671997,-13596
1911.271973,-15549
1911.871948,-17565
1912.472046,-18035
1913.072021,-19253
1913.671997,-19351
1914.271973,-17241
1914.871948,-14577
1915.472046,-21018
1916.072021,-19038
1916.671997,-21759
1917.271973,-19821
1917.871948,-22527
1918.472046,-17953
1919.072021,-19871
1919.671997,-19732
1920.271973,-15232
1920.871948,-18788
1921.472046,-14456
1922.072021,-15930
1922.671997,-17374
1923.271973,-18836
1923.871948,-18681
1924.472046,-14207
1925.072021,-16384
1925.671997,-18950
1926.271973,-19165
1926.871948,-18115
1927.472046,-17904
1928.072021,-19225
1928.671997,-16712
1929.271973,-18390
1929.871948,-18000
1930.472046,-21516
1931.072021,-19816
1931.671997,-18926
1932.271973,-20683
1932.871948,-17362
1933.472046,-16516
1934.072021,-19053
1934.671997,-15864
1935.271973,-18333
1935.871948,-12011
1936.472046,-20866
1937.072021,-17931
1937.671997,-20873
1938.271973,-14026
1938.871948,-15778
1939.472046,-17152
1940.072021,-15711
1940.671997,-15300
1941.271973,-18081
1941.871948,-15447
1942.472046,-17897
1943.072021,-18479
1943.671997,-16564
1944.271973,-17666
1944.871948,-20899
1945.472046,-18847
1946.072021,-17667
1946.671997,-19345
1947.271973,-15471
1947.871948,-20270
1948.472046,-21534
1949.072021,-15111
1949.671997,-18788
1950.271973,-23231
1950.871948,-17619
1951.472046,-20783
1952.072021,-18409
1952.671997,-15528
1953.271973,-18541
1953.871948,-15770
1954.472046,-17125
1955.072021,-15497
1955.671997,-15271
1956.271973,-17070
1956.871948,-15131
1957.472046,-17650
1958.072021,-17608
1958.671997,-14513
1959.271973,-20360
1959.871948,-13967
1960.472046,-19797
1961.072021,-24535
1961.671997,-18938
1962.271973,-16565
1962.871948,-13205
1963.472046,-10738
1964.072021,-17431
1964.671997,-18648
1965.271973,-21417
1965.871948,-10751
1966.472046,-12357
1967.072021,-24925
1967.671997,-18636
1968.271973,-19405
1968.871948,-12880
1969.472046,-17497
1970.072021,-24473
1970.671997,-13524
1971.271973,-10358
1971.871948,-19563
1972.472046,-18948
1973.072021,-17414
1973.671997,-18258
1974.271973,-14470
1974.871948,-13678
1975.472046,-17915
1976.072021,-14758
1976.671997,-16583
1977.271973,-17901
1977.871948,-16902
1978.472046,-18778
1979.072021,-22550
1979.671997,-16199
1980.271973,-15937
1980.871948,-17475
1981.472046,-16798
1982.072021,-16624
1982.671997,-13451
1983.271973,-19121
1983.871948,-14104
1984.472046,-15441
1985.072021,-13861
1985.671997,-18583
1986.271973,-18004
1986.871948,-15743
1987.472046,-19035
1988.072021,-16701
1988.671997,-16694
1989.271973,-19368
1989.871948,-19169
1990.472046,-19611
1991.072021,-15311
1991.671997,-16441
1992.271973,-15314
1992.871948,-19271
1993.472046,-17639
1994.072021,-14631
1994.671997,-16717
1995.271973,-13682
1995.871948,-20393
1996.472046,-16691
1997.072021,-17426
1997.671997,-18927
1998.271973,-7413
1998.871948,-18643
1999.472046,-18241
2000.072021,-17159
2000.671997,-20123
2001.271973,-21827
2001.871948,-10858
2002.472046,-18900
2003.072021,-20120
2003.671997,-19979
2004.271973,-20093
2004.871948,-17783
2005.472046,-17007
2006.072021,-14547
2006.671997,-17475
2007.271973,-12816
2007.871948,-23732
2008.472046,-12754
2009.072021,-2396
2009.671997,-18263
2010.271973,-25169
2010.871948,-16492
2011.472046,-19156
2012.072021,-8893
2012.671997,-19137
2013.271973,-15938
2013.871948,-16676
2014.472046,-22162
2015.072021,-13802
2015.671997,-14055
2016.271973,-19254
2016.871948,-18988
2017.472046,-19639
2018.072021,-19174
2018.671997,-19339
2019.271973,-11644
2019.871948,-11553
2020.472046,-17966
2021.072021,-19266
2021.671997,-15837
2022.271973,-16096
2022.871948,-13634
2023.472046,-16531
2024.072021,-16265
2024.671997,-16692
2025.271973,-15771
2025.871948,-15338
2026.472046,-16608
2027.072021,-16718
2027.671997,-16612
2028.271973,-16546
2028.871948,-16607
2029.472046,-16351
2030.072021,-16611
2030.671997,-16251
2031.271973,-16321
2031.871948,-16182
2032.472046,-16116
2033.072021,-15965
2033.671997,-16001
2034.271973,-15955
2034.871948,-15819
2035.472046,-15828
2036.072021,-15744
2036.671997,-15730
2037.271973,-15730
2037.871948,-15637
2038.472046,-15490
2039.072021,-15541
2039.671997,-15452
2040.271973,-15459
2040.871948,-15385
2041.472046,-15366
2042.072021,-15303
2042.671997,-15196
2043.271973,-15197
2043.871948,-15234
2044.472046,-15073
2045.072021,-15012
2045.671997,-15104
2046.271973,-14961
2046.871948,-14930
2047.472046,-14879
2048.072021,-14962
2048.672119,-14740
2049.271973,-14748
2049.87207,-14725
2050.471924,-14720
2051.072021,-14730
2051.672119,-14585
2052.271973,-14578
2052.87207,-14474
2053.471924,-14561
2054.072021,-14233
2054.672119,-14509
2055.271973,-14226
2055.87207,-14692
2056.471924,-14309
2057.072021,-14495
2057.672119,-14159
2058.271973,-14441
2058.87207,-14206
2059.471924,-14020
2060.072021,-14493
2060.672119,-14251
2061.271973,-14259
2061.87207,-14124
2062.471924,-14301
2063.072021,-14144
2063.672119,-14041
2064.271973,-14121
2064.87207,-14205
2065.471924,-14067
2066.072021,-13994
2066.672119,-14097
2067.271973,-13978
2067.87207,-13883
2068.471924,-13774
2069.072021,-13819
2069.672119,-13946
2070.271973,-13849
2070.87207,-13922
2071.471924,-13848
2072.072021,-13844
2072.672119,-13904
2073.271973,-13680
2073.87207,-13807
2074.471924,-13763
2075.072021,-13604
2075.672119,-13661
2076.271973,-13691
2076.87207,-13596
2077.471924,-13718
2078.072021,-13521
2078.672119,-13399
2079.271973,-13532
2079.87207,-13517
2080.471924,-13453
2081.072021,-13470
2081.672119,-13454
2082.271973,-13361
2082.87207,-13437
2083.471924,-13475
2084.072021,-13285
2084.672119,-13377
2085.271973,-13248
2085.87207,-13217
2086.471924,-13268
2087.072021,-13197
2087.672119,-13179
2088.271973,-13199
2088.87207,-13209
2089.471924,-13179
2090.072021,-13187
2090.672119,-13188
2091.271973,-13135
2091.87207,-13131
2092.471924,-13028
2093.072021,-12980
2093.672119,-13136
2094.271973,-13006
2094.87207,-12945
2095.471924,-13070
2096.072021,-12921
2096.672119,-13005
2097.271973,-12945
2097.87207,-12975
2098.471924,-12865
2099.072021,-12936
2099.672119,-12901
2100.271973,-12833
2100.87207,-12795
2101.471924,-12780
2102.072021,-12795
2102.672119,-12750
2103.271973,-12809
2103.971924,-12703
2104.572021,-12649
2105.172119,-12726
2105.771973,-12666
2106.37207,-12776
2106.971924,-12597
2107.572021,-12678
2108.172119,-12655
2108.771973,-12587
2109.37207,-12637
2109.971924,-12643
2110.572021,-12616
2111.172119,-12499
2111.771973,-12525
2112.37207,-12460
2112.971924,-12520
2113.572021,-12400
2114.172119,-12549
2114.771973,-12399
2115.37207,-12355
2115.971924,-12315
2116.572021,-12354
2117.172119,-12418
2117.771973,-12333
2118.37207,-12421
2118.971924,-12378
2119.572021,-12252
2120.172119,-12343
2120.771973,-12265
2121.37207,-12185
2121.971924,-12371
2122.572021,-12191
2123.172119,-12196
2123.771973,-12247
2124.37207,-12169
2124.971924,-12115
2125.572021,-12170
2126.172119,-12064
2126.771973,-12135
2127.37207,-12074
2127.971924,-12087
2128.572021,-12085
2129.172119,-12036
2129.771973,-11963
2130.37207,-11963
2130.971924,-11967
2131.572021,-11922
2132.172119,-11910
2132.771973,-11914
2133.37207,-11859
2133.971924,-11972
2134.572021,-11930
2135.172119,-11970
2135.771973,-11810
2136.37207,-11905
2136.971924,-11858
2137.572021,-11786
2138.172119,-11860
2138.771973,-11733
2139.37207,-11766
2139.971924,-11672
2140.572021,-11709
2141.172119,-11778
2141.771973,-11711
2142.37207,-11730
2142.971924,-11678
2143.572021,-11881
2144.172119,-11510
2144.771973,-11692
2145.37207,-11703
2145.971924,-11726
2146.572021,-11467
2147.172119,-11482
2147.771973,-11674
2148.37207,-11656
2148.971924,-11552
2149.572021,-11611
2150.172119,-11410
2150.771973,-11456
2151.37207,-11518
2151.971924,-11370
2152.572021,-11458
2153.172119,-11369
2153.771973,-11359
2154.37207,-11384
2154.971924,-11425
2155.572021,-11263
2156.172119,-11325
2156.771973,-11308
2157.37207,-11223
2157.971924,-11395
2158.572021,-11175
2159.172119,-11305
2159.771973,-11113
2160.37207,-11464
2160.971924,-11246
2161.572021,-11440
2162.172119,-11100
2162.771973,-11151
2163.37207,-11243
2163.971924,-11226
2164.572021,-11208
2165.172119,-11098
2165.771973,-11195
2166.37207,-11224
2166.971924,-11309
2167.572021,-10936
2168.172119,-10875
2168.771973,-11197
2169.37207,-10880
2169.971924,-10924
2170.572021,-11193
2171.172119,-10930
2171.771973,-10864
2172.37207,-11032
2172.971924,-11001
2173.572021,-10927
2174.172119,-10925
2174.771973,-10877
2175.37207,-10808
2175.971924,-10687
2176.572021,-10776
2177.172119,-10793
2177.771973,-10798
2178.37207,-10700
2178.971924,-10599
2179.572021,-10610
2180.172119,-10682
2180.771973,-10788
2181.37207,-10625
2181.971924,-10620
2182.572021,-10658
2183.172119,-10603
2183.771973,-10549
2184.37207,-10522
2184.971924,-10718
2185.572021,-10480
2186.172119,-10490
