Merge Top, , ,Merge Bottom, , ,Control Top, , ,Control Bottom, , ,Highschool Top, , ,Highschool Bottom, , ,State, 
Time_Cell0,Cell0,Accel_Cell0,Time_Cell1,Cell1,Accel_Cell1,Time_Cell2,Cell2,Accel_Cell2,Time_Cell3,Cell3,Accel_Cell3,Time_Cell4,Cell4,Accel_Cell4,Time_Cell5,Cell5,Accel_Cell5,Time_State,State
0.0000,0.000000,-9.878189,0.0000,0.000000,-9.878189,0.0000,0.000000,-9.878189,0.0000,0.000000,-9.878189,0.0000,0.000000,-9.878189,0.0000,0.000000,-9.878189,0.2001,0.000000
0.6001,-2873.000000,-9.794926,0.6001,-1226.000000,-9.794926,0.6001,-2555.000000,-9.794926,0.6001,-431.000000,-9.794926,0.6001,-363.000000,-9.794926,0.6001,-215.000000,-9.794926,0.8000,0.000000
1.2001,-6256.000000,-9.753570,1.2001,-7096.000000,-9.753570,1.2001,-7731.000000,-9.753570,1.2001,-5376.000000,-9.753570,1.2001,-6373.000000,-9.753570,1.2001,-8056.000000,-9.753570,1.4000,0.000000
1.8000,1292.000000,-9.851278,1.8000,1217.000000,-9.851278,1.8000,554.000000,-9.851278,1.8000,2484.000000,-9.851278,1.8000,495.000000,-9.851278,1.8000,315.000000,-9.851278,2.0000,0.000000
2.4000,-1041.000000,-9.876765,2.4000,-1385.000000,-9.876765,2.4000,-2077.000000,-9.876765,2.4000,-1070.000000,-9.876765,2.4000,-454.000000,-9.876765,2.4000,-1823.000000,-9.876765,2.6001,0.000000
3.0000,-1533.000000,-9.713558,3.0000,-632.000000,-9.713558,3.0000,496.000000,-9.713558,3.0000,176.000000,-9.713558,3.0000,2468.000000,-9.713558,3.0000,138.000000,-9.713558,3.2001,0.000000
3.6001,1293.000000,-9.880366,3.6001,-1926.000000,-9.880366,3.6001,-1405.000000,-9.880366,3.6001,-685.000000,-9.880366,3.6001,945.000000,-9.880366,3.6001,-1774.000000,-9.880366,3.8000,0.000000
4.2001,-3812.000000,-9.982529,4.2001,-6322.000000,-9.982529,4.2001,-5193.000000,-9.982529,4.2001,-3675.000000,-9.982529,4.2001,-2008.000000,-9.982529,4.2001,-6485.000000,-9.982529,4.4000,0.000000
4.8000,-5135.000000,-9.854284,4.8000,-7778.000000,-9.854284,4.8000,-4913.000000,-9.854284,4.8000,-2528.000000,-9.854284,4.8000,-6086.000000,-9.854284,4.8000,-6745.000000,-9.854284,5.0000,0.000000
5.4000,2996.000000,-9.681987,5.4000,-1539.000000,-9.681987,5.4000,2268.000000,-9.681987,5.4000,1264.000000,-9.681987,5.4000,2687.000000,-9.681987,5.4000,892.000000,-9.681987,5.6001,0.000000
6.0000,6404.000000,-9.927247,6.0000,3474.000000,-9.927247,6.0000,4304.000000,-9.927247,6.0000,3754.000000,-9.927247,6.0000,6123.000000,-9.927247,6.0000,2688.000000,-9.927247,6.2001,0.000000
6.6001,-2529.000000,-9.910243,6.6001,-454.000000,-9.910243,6.6001,-4069.000000,-9.910243,6.6001,-414.000000,-9.910243,6.6001,362.000000,-9.910243,6.6001,452.000000,-9.910243,6.8000,0.000000
7.2001,-8558.000000,-9.694732,7.2001,-12101.000000,-9.694732,7.2001,-10921.000000,-9.694732,7.2001,-6901.000000,-9.694732,7.2001,-9405.000000,-9.694732,7.2001,-11111.000000,-9.694732,7.4000,0.000000
7.8000,-3961.000000,-9.847851,7.8000,-6995.000000,-9.847851,7.8000,-1792.000000,-9.847851,7.8000,-770.000000,-9.847851,7.8000,-2126.000000,-9.847851,7.8000,-4926.000000,-9.847851,8.0000,0.000000
8.4000,154.000000,-9.789151,8.4000,-2961.000000,-9.789151,8.4000,-767.000000,-9.789151,8.4000,-1274.000000,-9.789151,8.4000,583.000000,-9.789151,8.4000,-2025.000000,-9.789151,8.6001,0.000000
9.0000,-855.000000,-9.725754,9.0000,-4146.000000,-9.725754,9.0000,-1590.000000,-9.725754,9.0000,-1747.000000,-9.725754,9.0000,-802.000000,-9.725754,9.0000,-3248.000000,-9.725754,9.2001,0.000000
9.6001,4669.000000,-9.873981,9.6001,164.000000,-9.873981,9.6001,3813.000000,-9.873981,9.6001,1170.000000,-9.873981,9.6001,2693.000000,-9.873981,9.6001,2909.000000,-9.873981,9.8000,0.000000
