Time_Cell0,Cell0,Time_Cell1,Cell1,Time_Cell2,Cell2,Time_Cell3,Cell3,Time_Cell4,Cell4,Time_Cell5,Cell5,Time_State,State
0.0000,-1329617.000000,0.0000,1682446.000000,0.0000,-18718.000000,0.0000,484466.000000,0.0000,2196243.000000,0.0000,-1980862.000000,0.2001,0.000000
0.6001,-1332490.000000,0.6001,1681220.000000,0.6001,-21273.000000,0.6001,484035.000000,0.6001,2195880.000000,0.6001,-1981077.000000,0.8000,0.000000
1.2001,-1335873.000000,1.2001,1675350.000000,1.2001,-26449.000000,1.2001,479090.000000,1.2001,2189870.000000,1.2001,-1988918.000000,1.4000,0.000000
1.8000,-1328325.000000,1.8000,1683663.000000,1.8000,-18164.000000,1.8000,486950.000000,1.8000,2196738.000000,1.8000,-1980547.000000,2.0000,0.000000
2.4000,-1330658.000000,2.4000,1681061.000000,2.4000,-20795.000000,2.4000,483396.000000,2.4000,2195789.000000,2.4000,-1982685.000000,2.6001,0.000000
3.0000,-1331150.000000,3.0000,1681814.000000,3.0000,-18222.000000,3.0000,484642.000000,3.0000,2198711.000000,3.0000,-1980724.000000,3.2001,0.000000
3.6001,-1328324.000000,3.6001,1680520.000000,3.6001,-20123.000000,3.6001,483781.000000,3.6001,2197188.000000,3.6001,-1982636.000000,3.8000,0.000000
4.2001,-1333429.000000,4.2001,1676124.000000,4.2001,-23911.000000,4.2001,480791.000000,4.2001,2194235.000000,4.2001,-1987347.000000,4.4000,0.000000
4.8000,-1334752.000000,4.8000,1674668.000000,4.8000,-23631.000000,4.8000,481938.000000,4.8000,2190157.000000,4.8000,-1987607.000000,5.0000,0.000000
5.4000,-1326621.000000,5.4000,1680907.000000,5.4000,-16450.000000,5.4000,485730.000000,5.4000,2198930.000000,5.4000,-1979970.000000,5.6001,0.000000
6.0000,-1323213.000000,6.0000,1685920.000000,6.0000,-14414.000000,6.0000,488220.000000,6.0000,2202366.000000,6.0000,-1978174.000000,6.2001,0.000000
6.6001,-1332146.000000,6.6001,1681992.000000,6.6001,-22787.000000,6.6001,484052.000000,6.6001,2196605.000000,6.6001,-1980410.000000,6.8000,0.000000
7.2001,-1338175.000000,7.2001,1670345.000000,7.2001,-29639.000000,7.2001,477565.000000,7.2001,2186838.000000,7.2001,-1991973.000000,7.4000,0.000000
7.8000,-1333578.000000,7.8000,1675451.000000,7.8000,-20510.000000,7.8000,483696.000000,7.8000,2194117.000000,7.8000,-1985788.000000,8.0000,0.000000
8.4000,-1329463.000000,8.4000,1679485.000000,8.4000,-19485.000000,8.4000,483192.000000,8.4000,2196826.000000,8.4000,-1982887.000000,8.6001,0.000000
9.0000,-1330472.000000,9.0000,1678300.000000,9.0000,-20308.000000,9.0000,482719.000000,9.0000,2195441.000000,9.0000,-1984110.000000,9.2001,0.000000
9.6001,-1324948.000000,9.6001,1682610.000000,9.6001,-14905.000000,9.6001,485636.000000,9.6001,2198936.000000,9.6001,-1977953.000000,9.8000,0.000000
10.2001,-1331607.000000,10.2001,1676616.000000,10.2001,-20781.000000,10.2001,481638.000000,10.2001,2193397.000000,10.2001,-1984385.000000,10.4000,0.000000
10.8000,-1331477.000000,10.8000,1673977.000000,10.8000,-23838.000000,10.8000,479816.000000,10.8000,2190650.000000,10.8000,-1984010.000000,11.0000,0.000000
11.4000,-1329004.000000,11.4000,1677135.000000,11.4000,-22354.000000,11.4000,483138.000000,11.4000,2192846.000000,11.4000,-1983852.000000,11.6001,0.000000
12.0000,-1333418.000000,12.0000,1680728.000000,12.0000,-14274.000000,12.0000,481422.000000,12.0000,2194770.000000,12.0000,-1974501.000000,12.2001,0.000000
12.6001,-1332641.000000,12.6001,1676254.000000,12.6001,-23693.000000,12.6001,480897.000000,12.6001,2190939.000000,12.6001,-1983876.000000,12.8000,0.000000
13.2001,-1328544.000000,13.2001,1677701.000000,13.2001,-18706.000000,13.2001,483035.000000,13.2001,2193328.000000,13.2001,-1980300.000000,13.4000,0.000000
13.8000,-1330677.000000,13.8000,1679634.000000,13.8000,-19601.000000,13.8000,483063.000000,13.8000,2188440.000000,13.8000,-1984656.000000,14.0000,0.000000
14.4000,-1326960.000000,14.4000,1679284.000000,14.4000,-18585.000000,14.4000,486295.000000,14.4000,2193769.000000,14.4000,-1981565.000000,14.6001,0.000000
15.0000,-1328423.000000,15.0000,1678635.000000,15.0000,-16855.000000,15.0000,482646.000000,15.0000,2197308.000000,15.0000,-1977077.000000,15.2001,0.000000
15.6001,-1327796.000000,15.6001,1678897.000000,15.6001,-15908.000000,15.6001,484223.000000,15.6001,2198549.000000,15.6001,-1977210.000000,15.8000,0.000000
16.2001,-1329898.000000,16.2001,1676630.000000,16.2001,-19020.000000,16.2001,482842.000000,16.2001,2196936.000000,16.2001,-1979863.000000,16.4000,0.000000
16.8000,-1334333.000000,16.8000,1673271.000000,16.8000,-21903.000000,16.8000,481128.000000,16.8000,2194941.000000,16.8000,-1980913.000000,17.0000,0.000000
17.4000,-1336155.000000,17.4000,1672151.000000,17.4000,-23508.000000,17.4000,478246.000000,17.4000,2194456.000000,17.4000,-1985499.000000,17.6001,0.000000
18.0000,-1330745.000000,18.0000,1674911.000000,18.0000,-17084.000000,18.0000,485074.000000,18.0000,2201538.000000,18.0000,-1980454.000000,18.2001,0.000000
18.6001,-1329684.000000,18.6001,1676361.000000,18.6001,-18932.000000,18.6001,481477.000000,18.6001,2195915.000000,18.6001,-1980710.000000,18.8000,0.000000
19.2001,-1337153.000000,19.2001,1671884.000000,19.2001,-25263.000000,19.2001,478108.000000,19.2001,2195480.000000,19.2001,-1987443.000000,19.4000,0.000000
19.8000,-1323104.000000,19.8000,1682972.000000,19.8000,-12259.000000,19.8000,485217.000000,19.8000,2197510.000000,19.8000,-1982538.000000,20.0000,0.000000
20.4000,-1332618.000000,20.4000,1676895.000000,20.4000,-19740.000000,20.4000,483389.000000,20.4000,2200849.000000,20.4000,-1980117.000000,20.6001,0.000000
21.0000,-1335041.000000,21.0000,1673287.000000,21.0000,-22198.000000,21.0000,479476.000000,21.0000,2198751.000000,21.0000,-1984064.000000,21.2001,0.000000
21.6001,-1334369.000000,21.6001,1675062.000000,21.6001,-21380.000000,21.6001,480191.000000,21.6001,2197910.000000,21.6001,-1983939.000000,21.8000,0.000000
22.2001,-1336492.000000,22.2001,1671807.000000,22.2001,-21546.000000,22.2001,480292.000000,22.2001,2196979.000000,22.2001,-1983724.000000,22.4000,0.000000
22.8000,-1327257.000000,22.8000,1680022.000000,22.8000,-15620.000000,22.8000,485079.000000,22.8000,2203713.000000,22.8000,-1979520.000000,23.0000,0.000000
23.4000,-1335001.000000,23.4000,1675297.000000,23.4000,-26950.000000,23.4000,480342.000000,23.4000,2193467.000000,23.4000,-1986013.000000,23.6001,0.000000
24.0000,-1327962.000000,24.0000,1679080.000000,24.0000,-16536.000000,24.0000,482767.000000,24.0000,2203186.000000,24.0000,-1980503.000000,24.2001,0.000000
24.6001,-1331116.000000,24.6001,1676192.000000,24.6001,-18616.000000,24.6001,482491.000000,24.6001,2199155.000000,24.6001,-1983125.000000,24.8000,0.000000
25.2001,-1334111.000000,25.2001,1673049.000000,25.2001,-21610.000000,25.2001,479968.000000,25.2001,2195384.000000,25.2001,-1988538.000000,25.4000,0.000000
25.8000,-1331494.000000,25.8000,1674693.000000,25.8000,-19911.000000,25.8000,480427.000000,25.8000,2196025.000000,25.8000,-1986511.000000,26.0000,0.000000
26.4000,-1330935.000000,26.4000,1680832.000000,26.4000,-18570.000000,26.4000,484379.000000,26.4000,2202657.000000,26.4000,-1981108.000000,26.6001,0.000000
27.0000,-1329833.000000,27.0000,1679656.000000,27.0000,-18260.000000,27.0000,483279.000000,27.0000,2200936.000000,27.0000,-1981464.000000,27.2001,0.000000
27.6001,-1334128.000000,27.6001,1674738.000000,27.6001,-23048.000000,27.6001,479620.000000,27.6001,2194511.000000,27.6001,-1986717.000000,27.8000,0.000000
28.2001,-1331712.000000,28.2001,1679270.000000,28.2001,-15217.000000,28.2001,483849.000000,28.2001,2200574.000000,28.2001,-1986164.000000,28.4000,0.000000
28.8000,-1327656.000000,28.8000,1680565.000000,28.8000,-18690.000000,28.8000,483752.000000,28.8000,2199965.000000,28.8000,-1980290.000000,29.0000,0.000000
29.4000,-1323907.000000,29.4000,1678685.000000,29.4000,-11782.000000,29.4000,486380.000000,29.4000,2201202.000000,29.4000,-1977698.000000,29.6001,0.000000
30.0000,-1330023.000000,30.0000,1680632.000000,30.0000,-13321.000000,30.0000,485651.000000,30.0000,2204540.000000,30.0000,-1982889.000000,30.2001,0.000000
30.6001,-1336815.000000,30.6001,1676258.000000,30.6001,-21247.000000,30.6001,477787.000000,30.6001,2197035.000000,30.6001,-1985051.000000,30.8000,0.000000
31.2001,-1329475.000000,31.2001,1679247.000000,31.2001,-17406.000000,31.2001,482859.000000,31.2001,2200561.000000,31.2001,-1982754.000000,31.4000,0.000000
31.8000,-1331874.000000,31.8000,1676252.000000,31.8000,-20605.000000,31.8000,478458.000000,31.8000,2196861.000000,31.8000,-1987486.000000,32.0000,0.000000
32.4000,-1336593.000000,32.4000,1670203.000000,32.4000,-25419.000000,32.4000,476194.000000,32.4000,2190910.000000,32.4000,-1992523.000000,32.6001,0.000000
33.0000,-1325248.000000,33.0000,1682679.000000,33.0000,-13338.000000,33.0000,485513.000000,33.0000,2202434.000000,33.0000,-1981938.000000,33.2001,0.000000
33.6001,-1327801.000000,33.6001,1677794.000000,33.6001,-17176.000000,33.6001,482364.000000,33.6001,2200533.000000,33.6001,-1984297.000000,33.8000,0.000000
34.2001,-1331270.000000,34.2001,1676546.000000,34.2001,-19630.000000,34.2001,479320.000000,34.2001,2195941.000000,34.2001,-1985598.000000,34.4000,0.000000
34.8000,-1332282.000000,34.8000,1673109.000000,34.8000,-23329.000000,34.8000,479741.000000,34.8000,2194440.000000,34.8000,-1988401.000000,35.0000,0.000000
35.4000,-1334210.000000,35.4000,1672392.000000,35.4000,-24296.000000,35.4000,477704.000000,35.4000,2194544.000000,35.4000,-1989513.000000,35.6001,0.000000
36.0000,-1328821.000000,36.0000,1671982.000000,36.0000,-23396.000000,36.0000,478151.000000,36.0000,2193747.000000,36.0000,-1989525.000000,36.2001,0.000000
36.6001,-1328707.000000,36.6001,1684359.000000,36.6001,-13909.000000,36.6001,482761.000000,36.6001,2203327.000000,36.6001,-1984492.000000,36.8000,0.000000
37.2001,-1326949.000000,37.2001,1679506.000000,37.2001,-15565.000000,37.2001,483375.000000,37.2001,2202137.000000,37.2001,-1983258.000000,37.4000,0.000000
37.8000,-1325617.000000,37.8000,1679568.000000,37.8000,-15699.000000,37.8000,480922.000000,37.8000,2201341.000000,37.8000,-1983206.000000,38.0000,0.000000
38.4000,-1322045.000000,38.4000,1682866.000000,38.4000,-11674.000000,38.4000,485523.000000,38.4000,2204068.000000,38.4000,-1980058.000000,38.6001,0.000000
39.0000,-1330230.000000,39.0000,1679701.000000,39.0000,-19110.000000,39.0000,481579.000000,39.0000,2196602.000000,39.0000,-1982152.000000,39.2001,0.000000
39.6001,-1334001.000000,39.6001,1671612.000000,39.6001,-24652.000000,39.6001,476433.000000,39.6001,2196653.000000,39.6001,-1991839.000000,39.8000,0.000000
40.2001,-1330006.000000,40.2001,1673373.000000,40.2001,-20711.000000,40.2001,480554.000000,40.2001,2194909.000000,40.2001,-1987907.000000,40.4000,0.000000
40.8000,-1332900.000000,40.8000,1672510.000000,40.8000,-24170.000000,40.8000,477870.000000,40.8000,2192798.000000,40.8000,-1990265.000000,41.0000,0.000000
41.4000,-1326806.000000,41.4000,1678529.000000,41.4000,-16351.000000,41.4000,482656.000000,41.4000,2199928.000000,41.4000,-1983352.000000,41.6001,0.000000
42.0000,-1329771.000000,42.0000,1675574.000000,42.0000,-19165.000000,42.0000,480824.000000,42.0000,2197898.000000,42.0000,-1985379.000000,42.2001,0.000000
42.6001,-1333597.000000,42.6001,1672189.000000,42.6001,-22607.000000,42.6001,477565.000000,42.6001,2193936.000000,42.6001,-1989583.000000,42.8000,0.000000
43.2001,-1325221.000000,43.2001,1677991.000000,43.2001,-15183.000000,43.2001,482087.000000,43.2001,2201154.000000,43.2001,-1981656.000000,43.4000,0.000000
43.8000,-1326380.000000,43.8000,1678929.000000,43.8000,-15463.000000,43.8000,483540.000000,43.8000,2201361.000000,43.8000,-1982171.000000,44.0000,0.000000
44.4000,-1329297.000000,44.4000,1675726.000000,44.4000,-19263.000000,44.4000,480121.000000,44.4000,2198335.000000,44.4000,-1986604.000000,44.6001,0.000000
45.0000,-1336260.000000,45.0000,1669942.000000,45.0000,-26211.000000,45.0000,476418.000000,45.0000,2197892.000000,45.0000,-1988229.000000,45.2001,0.000000
45.6001,-1331389.000000,45.6001,1674353.000000,45.6001,-21173.000000,45.6001,478999.000000,45.6001,2197959.000000,45.6001,-1988690.000000,45.8000,0.000000
